                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.33976,                0.23614,                 0.2873,                0.88012,                0.94701,                0.97554,                0.98154,                0.97136,                0.94701,                0.97554,                0.98154,                0.94851,                0.18632,                0.18781,                 0.2805,                0.62458,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.3326,                0.25831,                0.29158,                0.87282,                 0.9455,                 0.9808,                0.98064,                 0.9687,                 0.9455,                 0.9808,                0.98064,                 0.9465,                0.19671,                 0.1854,                0.27015,                0.62495,              0.0003764,              0.0003764,              0.0003764
                     85,                0.33694,                0.26095,                0.30099,                0.88236,                0.94546,                0.98004,                0.98169,                0.96925,                0.94546,                0.98004,                0.98169,                 0.9508,                0.20148,                0.19642,                0.29198,                0.62801,              0.0003566,              0.0003566,              0.0003566
                     86,                0.34287,                0.25967,                0.31216,                0.88915,                0.94159,                0.97661,                0.97949,                0.96798,                0.94159,                0.97661,                0.97949,                0.94612,                 0.1901,                0.19913,                 0.3301,                0.62523,              0.0003368,              0.0003368,              0.0003368
                     87,                0.33535,                0.25062,                 0.2845,                0.87779,                0.94328,                0.98051,                0.98055,                0.96825,                0.94328,                0.98051,                0.98055,                0.94473,                0.18401,                0.20103,                0.28747,                0.62493,               0.000317,               0.000317,               0.000317
                     88,                 0.3411,                0.24536,                0.29022,                0.88512,                 0.9452,                0.98246,                0.98297,                0.97105,                 0.9452,                0.98246,                0.98297,                0.95548,                0.18369,                0.19525,                0.26184,                0.62188,              0.0002972,              0.0002972,              0.0002972
                     89,                0.32556,                0.23784,                0.28352,                0.87994,                0.95408,                0.97213,                0.98539,                0.97443,                0.95408,                0.97213,                0.98539,                0.95688,                0.18147,                0.18827,                0.26463,                 0.6209,              0.0002774,              0.0002774,              0.0002774
                     90,                  0.325,                0.23522,                0.28736,                0.87633,                0.94257,                0.98051,                0.98222,                0.97069,                0.94257,                0.98051,                0.98222,                0.94616,                0.18176,                0.18272,                0.29276,                0.61949,              0.0002576,              0.0002576,              0.0002576
                     91,                0.29329,                0.27756,                0.36944,                0.85073,                  0.937,                 0.9857,                0.98135,                0.96855,                  0.937,                 0.9857,                0.98135,                0.95503,                0.19476,                0.16959,                0.29099,                0.62605,              0.0002378,              0.0002378,              0.0002378
                     92,                0.27663,                 0.2829,                0.31243,                0.84623,                0.94997,                0.97466,                0.98202,                0.97103,                0.94997,                0.97466,                0.98202,                0.95884,                0.18783,                 0.1666,                0.25831,                0.62504,               0.000218,               0.000218,               0.000218
                     93,                0.28255,                 0.2797,                0.28556,                0.86136,                0.93823,                0.98441,                0.98012,                0.96677,                0.93823,                0.98441,                0.98012,                0.95252,                0.19057,                0.17032,                0.26371,                0.62625,              0.0001982,              0.0001982,              0.0001982
                     94,                0.27696,                0.26452,                0.27237,                0.85185,                0.93807,                0.97434,                0.98202,                0.96989,                0.93807,                0.97434,                0.98202,                0.95205,                 0.1853,                0.16006,                 0.2668,                 0.6246,              0.0001784,              0.0001784,              0.0001784
                     95,                0.28768,                0.26831,                0.28377,                0.85301,                0.93844,                0.97271,                0.98222,                0.97169,                0.93656,                0.97076,                0.98197,                0.95287,                0.18209,                0.16331,                0.26927,                0.62579,              0.0001586,              0.0001586,              0.0001586
                     96,                0.26842,                0.26144,                0.27886,                0.83809,                0.93511,                0.98441,                0.98062,                0.97006,                0.93511,                0.98441,                0.98062,                0.94882,                0.17993,                0.16508,                 0.2602,                0.62666,              0.0001388,              0.0001388,              0.0001388
                     97,                0.27941,                0.28163,                0.27417,                0.84396,                0.93677,                0.98441,                0.98186,                0.97216,                0.93677,                0.98441,                0.98186,                 0.9496,                 0.1783,                0.16133,                0.25189,                0.62675,               0.000119,               0.000119,               0.000119
                     98,                0.26864,                0.25991,                0.27582,                0.84018,                0.94714,                0.97661,                0.98247,                0.97348,                0.94714,                0.97661,                0.98247,                0.95463,                0.17409,                0.16203,                0.24871,                0.62498,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.25495,                0.22787,                0.28763,                0.84769,                0.94368,                0.97993,                0.98228,                0.97472,                0.94368,                0.97993,                0.98228,                0.95793,                0.17724,                0.16341,                0.25163,                0.62357,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.25773,                0.27065,                 0.2548,                0.84031,                0.94357,                0.97786,                0.98144,                0.97184,                0.94357,                0.97786,                0.98144,                0.95568,                0.17324,                0.16897,                0.25134,                0.62128,               5.96e-05,               5.96e-05,               5.96e-05
